name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,196659,75770,196659,2959,2015-11-07 01:19:20+00:00,2026-08-02 13:55:59+00:00,Apache License 2.0
transformers,huggingface,Python,163251,34092,163251,2322,2018-10-29 13:56:00+00:00,2026-08-02 14:18:32+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,88889,21758,88889,7,2021-03-03 01:34:05+00:00,2026-08-02 13:46:06+00:00,MIT License
funNLP,fighting41love,Python,82200,15266,82200,52,2018-08-21 11:20:39+00:00,2026-08-02 14:21:01+00:00,No License
awesome-machine-learning,josephmisiti,Python,73840,15583,73840,20,2014-07-15 19:11:19+00:00,2026-08-02 12:20:49+00:00,Other
scikit-learn,scikit-learn,Python,66853,27251,66853,2112,2010-08-17 09:43:38+00:00,2026-08-02 13:09:51+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43267,3566,43267,206,2018-12-19 08:24:04+00:00,2026-08-02 11:50:08+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,35886,7395,35886,67,2021-01-02 12:08:37+00:00,2026-08-02 14:21:52+00:00,No License
C-Plus-Plus,TheAlgorithms,C++,34540,7843,34540,43,2016-07-16 10:19:45+00:00,2026-08-02 11:23:48+00:00,MIT License
netron,lutzroeder,JavaScript,33294,3175,33294,18,2010-12-26 12:53:43+00:00,2026-08-02 10:54:03+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32403,5424,32403,76,2017-02-05 12:11:23+00:00,2026-08-02 14:17:25+00:00,MIT License
applied-ml,eugeneyan,Unknown,29980,3975,29980,8,2020-07-04 18:57:47+00:00,2026-08-02 13:40:24+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28845,6153,28845,32,2016-10-09 21:20:25+00:00,2026-08-02 12:05:43+00:00,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28806,12918,28806,21,2019-07-13 19:52:56+00:00,2026-08-02 11:11:24+00:00,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27687,3420,27687,39,2023-09-06 19:31:06+00:00,2026-08-02 14:06:00+00:00,Other
shap,shap,Jupyter Notebook,25663,3734,25663,1041,2016-11-22 19:17:08+00:00,2026-08-02 12:56:38+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24724,4192,24724,31,2018-11-01 04:34:19+00:00,2026-08-02 12:43:30+00:00,MIT License
Paddle,PaddlePaddle,C++,24040,6013,24040,1536,2016-08-15 06:59:08+00:00,2026-08-01 13:14:34+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23700,3140,23700,51,2020-11-29 19:41:36+00:00,2026-08-02 00:48:48+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22301,4767,22301,19,2016-07-16 10:17:03+00:00,2026-08-02 10:31:28+00:00,GNU General Public License v3.0
rasa,RasaHQ,Python,21273,4918,21273,152,2016-10-14 12:27:49+00:00,2026-08-02 09:14:55+00:00,Apache License 2.0
onnx,onnx,Python,21251,3979,21251,280,2017-09-07 04:53:45+00:00,2026-08-02 13:43:26+00:00,Apache License 2.0
awesome-production-machine-learning,EthicalML,Unknown,20814,2589,20814,31,2018-08-15 14:28:41+00:00,2026-08-02 02:02:12+00:00,MIT License
video2x,k4yt3x,C++,20710,1787,20710,124,2018-02-24 16:34:41+00:00,2026-08-02 13:32:02+00:00,GNU Affero General Public License v3.0
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20239,5473,20239,2,2018-05-09 12:33:08+00:00,2026-08-02 14:23:12+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20015,4234,20015,20,2018-08-04 23:01:00+00:00,2026-08-02 12:20:09+00:00,MIT License
ml-agents,Unity-Technologies,C#,19600,4480,19600,18,2017-09-08 21:09:04+00:00,2026-08-02 06:14:00+00:00,Other
LightGBM,lightgbm-org,C++,18654,4047,18654,509,2016-08-05 05:45:50+00:00,2026-08-02 12:38:42+00:00,MIT License
ml-engineering,stas00,Python,18508,1183,18508,2,2020-09-02 19:23:01+00:00,2026-08-02 10:28:13+00:00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18059,3970,18059,47,2015-09-12 14:51:38+00:00,2026-08-02 09:40:14+00:00,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17780,4630,17780,36,2019-07-05 12:49:53+00:00,2026-08-02 06:22:02+00:00,No License
brpc,apache,C++,17571,4128,17571,469,2017-09-04 09:28:47+00:00,2026-08-01 08:00:29+00:00,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17345,2118,17345,21,2021-06-25 09:39:16+00:00,2026-08-02 13:46:26+00:00,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16338,3750,16338,48,2019-04-06 22:29:49+00:00,2026-08-02 14:15:39+00:00,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16223,1172,16223,265,2023-02-13 13:51:45+00:00,2026-08-01 21:32:36+00:00,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15828,2827,15828,197,2017-12-08 10:52:21+00:00,2026-08-02 12:02:58+00:00,No License
kubeflow,kubeflow,Unknown,15803,2690,15803,0,2017-11-30 18:44:19+00:00,2026-08-01 15:44:58+00:00,Apache License 2.0
